date,com_count,sub_count,com_body_pos_count,com_body_very_pos_count,com_body_neg_count,com_body_very_neg_count,sub_body_pos_count,sub_body_very_pos_count,sub_body_neg_count,sub_body_very_neg_count,sub_title_pos_count,sub_title_very_pos_count,sub_title_neg_count,sub_title_very_neg_count,avg_clust_coef,avg_degree,num_edges,num_nodes,bitcoin_open,bitcoin_high,bitcoin_low,bitcoin_close,bitcoin_volume,bitcoin_market_cap,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_market_cap
7/22/2018,9507,1180,2102,972,1004,408,60,42,16,9,123,39,50,4,0.00497404,1.1691,4549,3891,7417.8,7537.95,7383.82,7418.49,3695460096,1.27E+11,462.44,470.9,458.12,459.66,1338589952,46630920192
7/23/2018,14073,1918,3147,1450,1491,537,110,84,20,13,249,67,68,17,0.009355029,1.1074,5714,5160,7414.71,7771.5,7409.1,7711.11,5132480000,1.27E+11,459.44,469.77,449.73,450.85,1596999936,46338043904
7/24/2018,17350,2111,3818,1717,1618,558,142,113,31,18,260,74,98,32,0.013974885,1.2046,7196,5974,7716.51,8424.27,7705.5,8424.27,7277689856,1.32E+11,451.14,481.14,450.57,479.37,2287520000,45509849088
7/25/2018,15039,2085,3545,1605,1509,532,139,96,26,10,217,60,77,13,0.011904428,1.1677,6287,5384,8379.66,8416.87,8086.36,8181.39,5845400064,1.44E+11,479.91,482.87,466.47,472.49,1930780032,48421990400
7/26/2018,14936,1939,3500,1692,1652,602,153,111,24,12,230,59,105,6,0.013712115,1.1956,6553,5481,8176.85,8290.33,7878.71,7951.58,4899089920,1.40E+11,472.33,483.7,461.42,464.04,1621560064,47667482624
7/27/2018,13205,2239,2779,1268,1559,555,106,80,19,8,198,54,88,14,0.011022142,1.2034,5815,4832,7950.4,8262.66,7839.76,8165.01,5195879936,1.37E+11,464.01,473.22,458.29,469.67,1734259968,46837104640
7/28/2018,10487,1601,2262,1101,1288,538,94,74,17,11,137,36,53,8,0.009793413,1.1244,4681,4163,8169.06,8222.85,8110.77,8192.15,3988750080,1.40E+11,469.68,471.59,462.99,466.9,1531890048,47418966016
7/29/2018,11073,1184,2400,1138,1297,541,84,57,22,11,126,26,62,7,0.017624449,1.2446,5175,4158,8205.82,8272.26,8141.18,8218.46,4107190016,1.41E+11,466.92,470.36,462.71,466.67,1631910016,47149572096
7/30/2018,13842,2293,3176,1591,1450,545,119,78,11,7,262,54,77,11,0.013626561,1.1462,5857,5110,8221.58,8235.5,7917.5,8180.48,5551400000,1.41E+11,466.83,467.95,448.64,457.08,2141590000,47150243495
7/31/2018,14295,1879,3117,1416,1595,616,117,88,19,13,276,69,104,17,0.008305816,1.1423,5988,5242,8181.2,8181.53,7696.93,7780.44,5287530000,1.41E+11,457.25,457.25,430.44,433.87,1820680000,46191809198
8/1/2018,13794,1946,3169,1493,1489,565,119,95,29,20,260,44,68,3,0.014025924,1.1726,6005,5121,7769.04,7769.04,7504.95,7624.91,4797620000,1.33E+11,433.87,435.46,410.46,420.75,1888060000,43839225862
8/2/2018,13335,1880,2942,1344,1466,545,126,91,19,10,99,27,33,6,0.012917845,1.163,5758,4951,7634.19,7712.77,7523.44,7567.15,4214110000,1.31E+11,420.81,425.03,410.31,412.62,1569300000,42527933834
8/3/2018,15274,1898,3112,1393,1651,606,115,92,23,11,99,23,35,1,0.015177983,1.1641,6059,5205,7562.14,7562.14,7328.65,7434.39,4627150000,1.30E+11,412.57,420.55,399.91,418.26,1722340000,41703717522
8/4/2018,11226,1260,2404,1040,1117,377,79,59,16,10,80,21,28,4,0.00925248,1.1859,4835,4077,7438.67,7497.49,6984.07,7032.85,4268390000,1.28E+11,418.24,420.19,403.78,407.25,1466540000,42285422559
8/5/2018,9618,1150,2160,1009,971,361,67,53,22,11,153,43,33,3,0.005882036,1.1327,4241,3744,7031.08,7102.77,6940.7,7068.48,3679110000,1.21E+11,407.35,413.72,402.43,410.52,1396820000,41192725337
8/6/2018,11250,1654,2463,1157,1238,424,93,72,19,10,203,67,74,8,0.008108393,1.1445,5006,4374,7062.94,7166.55,6890.54,6951.8,3925900000,1.21E+11,410.57,414.54,403.32,406.66,1384880000,41526865934
8/7/2018,15073,1729,3145,1365,1825,646,94,76,33,19,209,54,87,10,0.016612838,1.1665,5976,5123,6958.32,7146.56,6748.24,6753.12,4682800000,1.20E+11,406.8,411.41,376.08,380.22,1828350000,41154302930
8/8/2018,20095,1892,4057,1780,2332,850,108,75,34,18,187,54,125,15,0.009356891,1.1964,7650,6394,6746.85,6746.85,6226.22,6305.8,5064430000,1.16E+11,379.89,380.67,353.73,356.61,2016080000,38439767874
8/9/2018,14658,1894,3240,1557,1553,596,125,83,19,12,225,56,65,6,0.011402532,1.1859,6227,5251,6305.56,6625.73,6249.07,6568.23,4267040000,1.08E+11,356.97,370.95,353.61,365.59,1616610000,36127750164
